BATTER	TEAM	BA	SLG	OBA	G	AB	R	H	TB	2B	3B	HR	RBI	BB	SO	SB	CS
Guillen	MARINERS	0.257	0.396	0.324	90	288	45	74	114	15	2	7	42	28	53	1	3
Buhner	MARINERS	0.253	0.522	0.361	112	364	50	92	190	20	0	26	82	59	98	0	2
Lampkin	MARINERS	0.252	0.534	0.325	36	103	15	26	55	6	1	7	23	9	17	0	0
Bell	MARINERS	0.247	0.381	0.316	133	454	57	112	173	24	2	11	47	42	66	2	3
McLemore	MARINERS	0.245	0.316	0.353	138	481	72	118	152	23	1	3	46	81	78	30	14
Mabry	MARINERS	0.243	0.32	0.322	48	103	18	25	33	5	0	1	7	10	31	0	1
Henderson	MARINERS	0.238	0.327	0.362	92	324	58	77	106	13	2	4	30	63	55	31	9
Wilson	MARINERS	0.235	0.336	0.291	90	268	31	63	90	12	0	5	27	22	51	1	2
Martin	MARINERS	0.231	0.396	0.283	42	134	19	31	53	2	4	4	9	8	31	4	1
Ibanez	MARINERS	0.229	0.329	0.301	92	140	21	32	46	8	0	2	15	14	25	2	0
Machado	MARINERS	0.214	0.429	0.267	8	14	2	3	6	0	0	1	1	1	4	0	0
Widger	MARINERS	0.091	0.364	0.167	10	11	1	1	4	0	0	1	1	1	2	0	0
Hernandez	MARINERS	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	1
Timmons	DEVIL_RAYS	0.341	0.707	0.357	12	41	9	14	29	3	0	4	13	1	7	0	0
Rolls	DEVIL_RAYS	0.333	0.333	0.333	4	3	0	1	1	0	0	0	0	0	1	0	0
Huff	DEVIL_RAYS	0.287	0.443	0.318	39	122	12	35	54	7	0	4	14	5	18	0	0
Cox	DEVIL_RAYS	0.283	0.453	0.379	116	318	44	90	144	19	1	11	35	46	47	1	2
McGriff	DEVIL_RAYS	0.277	0.452	0.373	158	566	82	157	256	18	0	27	106	91	120	2	0
Trammell	DEVIL_RAYS	0.275	0.466	0.352	66	189	19	52	88	11	2	7	33	21	30	3	0
Williams	DEVIL_RAYS	0.274	0.427	0.312	146	632	87	173	270	30	2	21	89	34	103	12	12
Flaherty	DEVIL_RAYS	0.261	0.376	0.296	109	394	36	103	148	15	0	10	39	20	57	0	0
Cairo	DEVIL_RAYS	0.261	0.328	0.314	119	375	49	98	123	18	2	1	34	29	34	28	7
Johnson	DEVIL_RAYS	0.254	0.33	0.344	74	185	28	47	61	8	0	2	17	25	30	4	1
Vaughn	DEVIL_RAYS	0.254	0.499	0.365	127	461	83	117	230	27	1	28	74	80	128	8	1
J. Guillen	DEVIL_RAYS	0.253	0.43	0.32	105	316	40	80	136	16	5	10	41	18	65	3	1
Winn	DEVIL_RAYS	0.252	0.302	0.362	51	159	28	40	48	5	0	1	16	26	25	6	7
O. Guillen	DEVIL_RAYS	0.243	0.336	0.283	63	107	22	26	36	4	0	2	12	6	7	1	0
Tyner	DEVIL_RAYS	0.241	0.265	0.281	37	83	6	20	22	2	0	0	8	4	12	6	1
DiFelice	DEVIL_RAYS	0.24	0.402	0.28	60	204	23	49	82	13	1	6	19	12	40	0	0
Smith	DEVIL_RAYS	0.234	0.383	0.293	49	175	21	41	67	8	0	6	26	14	59	2	2
Castilla	DEVIL_RAYS	0.221	0.308	0.254	85	331	22	73	102	9	1	6	42	14	41	1	2
F. Martinez	DEVIL_RAYS	0.214	0.298	0.305	106	299	42	64	89	11	4	2	17	32	68	9	3
Hall	DEVIL_RAYS	0.167	0.417	0.231	4	12	1	2	5	0	0	1	1	1	0	0	0
McCracken	DEVIL_RAYS	0.129	0.129	0.27	15	31	5	4	4	0	0	0	2	6	4	0	1
Kelly	DEVIL_RAYS	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0
Brewer	DEVIL_RAYS	---	---	---	0	0	0	0	0	0	0	0	0	0	0	0	0
Rodriguez	RANGERS	0.347	0.667	0.375	91	363	66	126	242	27	4	27	83	19	48	5	5
Kapler	RANGERS	0.302	0.473	0.36	116	444	59	134	210	32	1	14	66	42	57	8	4
Greer	RANGERS	0.297	0.459	0.377	105	394	65	117	181	34	3	8	65	51	61	4	1
Alicea	RANGERS	0.294	0.404	0.365	139	540	85	159	218	25	8	6	63	59	75	1	3
Knorr	RANGERS	0.294	0.529	0.294	15	34	5	10	18	2	0	2	2	0	3	0	0
Mateo	RANGERS	0.291	0.447	0.339	52	206	32	60	92	11	0	7	19	10	34	6	0
Catalanotto	RANGERS	0.291	0.457	0.375	103	282	55	82	129	13	2	10	42	33	36	6	2
Palmeiro	RANGERS	0.288	0.558	0.397	158	565	102	163	315	29	3	39	120	103	77	2	1
Sheldon	RANGERS	0.282	0.468	0.336	58	124	21	35	58	11	0	4	19	10	37	0	0
Lamb	RANGERS	0.278	0.373	0.328	138	493	65	137	184	25	2	6	47	34	60	0	2
Evans	RANGERS	0.278	0.352	0.394	23	54	10	15	19	4	0	0	5	10	13	0	3
Valdes	RANGERS	0.278	0.426	0.35	30	54	4	15	23	5	0	1	5	6	7	0	0
Haselman	RANGERS	0.275	0.461	0.329	62	193	23	53	89	18	0	6	26	15	36	0	1
Curtis	RANGERS	0.272	0.424	0.343	108	335	48	91	142	25	1	8	48	37	71	3	3
Clayton	RANGERS	0.242	0.384	0.301	148	513	70	124	197	21	5	14	54	42	92	11	7
Ledee	RANGERS	0.236	0.381	0.322	137	467	59	110	178	19	5	13	77	59	98	13	6
McDonald	RANGERS	0.234	0.383	0.357	38	94	15	22	36	5	0	3	13	17	25	4	4
Green	RANGERS	0.234	0.258	0.291	79	124	21	29	32	1	1	0	9	10	26	10	6
Sierra	RANGERS	0.233	0.283	0.281	20	60	5	14	17	0	0	1	7	4	9	1	0
Waszgis	RANGERS	0.222	0.244	0.294	24	45	6	10	11	1	0	0	4	4	10	0	0
Dransfeldt	RANGERS	0.115	0.192	0.148	16	26	2	3	5	2	0	0	2	1	14	0	0
Young	RANGERS	0	0	0	2	2	0	0	0	0	0	0	0	0	1	0	0
Podsednik	RANGERS	---	---	---	0	0	0	0	0	0	0	0	0	0	0	0	0
Delgado	BLUE_JAYS	0.344	0.664	0.47	162	569	115	196	378	57	1	41	137	123	104	0	1
Fletcher	BLUE_JAYS	0.32	0.514	0.355	122	416	43	133	214	19	1	20	58	20	45	1	0
Stewart	BLUE_JAYS	0.319	0.518	0.363	136	583	107	186	302	43	5	21	69	37	79	20	5
Fullmer	BLUE_JAYS	0.295	0.558	0.34	133	482	76	142	269	29	1	32	104	30	68	3	1
Grebeck	BLUE_JAYS	0.295	0.411	0.364	66	241	38	71	99	19	0	3	23	25	33	0	0
Martinez	BLUE_JAYS	0.285	0.387	0.362	114	403	55	115	156	18	4	5	46	48	65	7	7
Morandini	BLUE_JAYS	0.271	0.308	0.316	35	107	10	29	33	2	1	0	7	7	23	1	0
Mondesi	BLUE_JAYS	0.271	0.523	0.329	96	388	78	105	203	22	2	24	67	32	73	22	6
Batista	BLUE_JAYS	0.263	0.519	0.307	154	620	96	163	322	32	2	41	114	35	121	5	4
Gonzalez	BLUE_JAYS	0.252	0.404	0.313	141	527	68	133	213	31	2	15	69	43	113	4	4
Cordova	BLUE_JAYS	0.245	0.34	0.317	62	200	23	49	68	7	0	4	18	18	35	3	2
Cruz	BLUE_JAYS	0.242	0.466	0.323	162	603	91	146	281	32	5	31	76	71	129	15	5
T. Greene	BLUE_JAYS	0.235	0.435	0.278	34	85	11	20	37	2	0	5	10	5	18	0	0
Mottola	BLUE_JAYS	0.222	0.222	0.3	3	9	1	2	2	0	0	0	2	0	4	0	0
Bush	BLUE_JAYS	0.215	0.253	0.271	76	297	38	64	75	8	0	1	18	18	60	9	4
A. Castillo	BLUE_JAYS	0.211	0.265	0.287	66	185	14	39	49	7	0	1	16	21	36	0	0
Woodward	BLUE_JAYS	0.183	0.337	0.254	37	104	16	19	35	7	0	3	14	10	28	1	0
Thompson	BLUE_JAYS	0.167	0.167	0.444	2	6	2	1	1	0	0	0	1	3	2	0	0
Ducey	BLUE_JAYS	0.154	0.231	0.267	5	13	2	2	3	1	0	0	1	2	2	0	0
Wise	BLUE_JAYS	0.136	0.136	0.208	28	22	3	3	3	0	0	0	0	1	5	1	0
C. Greene	BLUE_JAYS	0.111	0.111	0.111	3	9	0	1	1	0	0	0	0	0	5	0	0
Phelps	BLUE_JAYS	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0
V. Wells	BLUE_JAYS	0	0	0	3	2	0	0	0	0	0	0	0	0	0	0	0
