Date	Opp	AB	R	H	2B	3B	HR	RBI	TBB	IBB	SO	SB	CS	ERR
4/2/01	SD	3	0	1	1	0	0	0	1	0	2	0	1	0
4/4/01	SD	4	2	1	1	0	0	0	1	1	1	0	0	0
4/5/01	SD	4	1	1	0	0	1	3	0	0	1	0	0	0
4/6/01	@LA	3	0	0	0	0	0	0	0	0	0	0	0	0
4/7/01	@LA	3	0	1	0	0	0	1	0	0	0	0	0	0
4/8/01	@LA	3	0	0	0	0	0	0	1	0	0	0	0	0
4/10/01	@SD	5	2	2	0	0	2	5	0	0	0	0	0	0
4/11/01	@SD	4	0	0	0	0	0	0	0	0	2	0	0	1
4/12/01	@SD	4	1	2	0	0	1	1	0	0	1	0	1	0
4/13/01	@Mil	4	1	1	0	0	0	1	0	0	0	0	0	0
4/14/01	@Mil	5	1	1	1	0	0	0	0	0	3	0	0	0
4/15/01	@Mil	4	0	1	0	0	0	0	0	0	1	0	1	0
4/17/01	LA	4	0	2	0	0	0	1	0	0	0	0	0	0
4/18/01	LA	4	0	0	0	0	0	0	0	0	0	0	0	0
4/19/01	LA	4	0	0	0	0	0	0	0	0	0	0	0	0
4/20/01	Mil	4	0	0	0	0	0	0	0	0	0	0	0	0
4/21/01	Mil	3	0	0	0	0	0	0	1	0	1	0	0	0
4/22/01	Mil	1	1	1	1	0	0	0	0	0	0	0	0	0
4/24/01	Cin	2	0	0	0	0	0	0	0	0	0	0	0	0
4/25/01	Cin	5	1	1	0	0	0	0	0	0	0	0	0	0
4/26/01	Cin	4	0	3	2	0	0	0	1	0	1	0	0	0
4/27/01	ChC	4	0	1	0	0	0	2	0	0	2	0	0	0
4/28/01	ChC	4	0	1	1	0	0	1	0	0	1	0	0	0
4/29/01	ChC	3	0	2	1	0	0	0	1	0	0	0	0	0
5/1/01	@Pit	4	1	3	2	0	1	7	1	0	0	0	0	0
5/2/01	@Pit	4	0	1	0	0	0	0	1	0	1	0	0	0
5/3/01	@Pit	5	0	0	0	0	0	0	0	0	1	0	0	0
5/4/01	@Phi	3	1	1	0	1	0	0	0	0	0	0	0	0
5/5/01	@Phi	4	0	2	2	0	0	0	1	0	2	0	0	0
5/6/01	@Phi	5	0	1	0	0	0	1	0	0	1	0	0	0
5/7/01	Mon	4	1	1	0	0	0	1	0	0	1	0	0	0
5/8/01	Mon	5	1	2	0	0	0	0	0	0	0	0	0	0
5/9/01	Mon	3	0	0	0	0	0	0	0	0	0	0	0	0
5/10/01	Mon	4	1	2	2	0	0	2	1	0	0	0	0	0
5/11/01	NYM	1	0	0	0	0	0	1	0	0	1	0	0	0
5/12/01	NYM	4	0	1	1	0	0	2	0	0	1	0	0	0
5/13/01	NYM	4	1	1	0	0	1	1	0	0	1	0	0	0
5/15/01	@Fla	4	1	2	0	0	0	1	1	0	1	0	0	0
5/16/01	@Fla	3	0	0	0	0	0	1	0	0	3	0	0	0
5/17/01	@Fla	3	0	0	0	0	0	0	1	0	1	0	0	0
5/18/01	@Atl	3	0	1	0	0	0	1	0	0	0	0	0	0
5/19/01	@Atl	5	1	2	1	0	0	0	0	0	1	0	1	0
5/20/01	@Atl	2	0	1	0	0	0	1	1	0	1	0	0	0
5/21/01	@Ari	4	1	1	0	0	1	1	0	0	0	0	0	0
5/22/01	@Ari	4	0	0	0	0	0	0	1	0	1	0	0	0
5/23/01	@Ari	1	1	0	0	0	0	1	2	0	0	0	0	0
5/24/01	Col	4	1	2	0	0	1	2	0	0	0	0	0	0
5/25/01	Col	3	0	0	0	0	0	0	1	0	1	0	0	0
