Date	Opp	AB	R	H	2B	3B	HR	RBI	TBB	IBB	SO	SB	CS	ERR
5/26/01	Col	3	0	0	0	0	0	0	1	0	0	0	0	0
5/27/01	Col	3	1	1	0	0	0	1	1	0	0	0	1	0
5/28/01	Ari	5	0	1	0	0	0	0	1	0	2	0	0	0
5/29/01	Ari	7	0	3	1	0	0	0	1	1	1	0	0	0
5/30/01	Ari	4	1	1	0	0	0	0	0	0	0	1	0	0
6/1/01	@Col	4	3	1	0	0	0	1	1	0	1	0	0	0
6/2/01	@Col	5	1	2	1	0	0	0	0	0	0	0	0	0
6/3/01	@Col	4	0	1	0	0	0	0	0	0	1	0	0	0
6/4/01	SD	4	0	1	0	0	0	0	0	0	1	0	0	0
6/5/01	SD	3	1	1	0	0	0	1	1	0	1	0	0	1
6/6/01	SD	3	0	1	1	0	0	1	1	0	0	0	0	0
6/7/01	SD	2	1	1	1	0	0	1	2	0	0	0	0	0
6/8/01	@Oak	4	1	2	0	0	0	0	0	0	1	0	0	0
6/9/01	@Oak	4	1	2	0	0	1	3	1	0	1	0	0	0
6/10/01	@Oak	3	0	0	0	0	0	1	0	0	1	0	0	0
6/12/01	Ana	3	0	0	0	0	0	0	1	0	0	0	0	0
6/13/01	Ana	2	0	0	0	0	0	0	2	0	1	0	0	0
6/14/01	Ana	4	3	2	0	1	0	3	1	0	0	0	0	0
6/15/01	Oak	4	0	1	0	0	0	0	0	0	0	1	0	0
6/16/01	Oak	2	0	0	0	0	0	0	1	0	1	0	0	0
6/17/01	Oak	3	0	2	0	0	0	0	1	0	0	0	0	0
6/19/01	@SD	2	0	0	0	0	0	0	0	0	1	0	0	0
6/20/01	@SD	3	1	1	0	0	0	1	0	0	0	0	0	0
6/21/01	@SD	4	1	2	0	0	0	1	1	0	0	0	0	0
6/22/01	@StL	3	2	1	0	0	0	1	2	0	1	0	0	0
6/23/01	@StL	5	0	1	0	0	0	0	0	0	1	0	0	0
6/24/01	@StL	5	1	3	0	1	1	1	0	0	0	0	0	0
6/25/01	LA	4	2	4	1	0	1	3	0	0	0	0	0	0
6/26/01	LA	5	1	2	1	0	0	1	0	0	1	0	0	0
6/27/01	LA	4	0	2	0	0	0	0	1	0	1	1	0	0
6/29/01	StL	4	0	1	0	0	0	0	0	0	1	0	0	0
6/30/01	StL	3	1	1	0	0	0	0	0	0	0	0	0	1
7/1/01	StL	4	0	0	0	0	0	0	0	0	1	0	0	0
7/2/01	@LA	3	1	1	0	0	1	3	1	0	0	0	0	0
7/3/01	@LA	5	0	0	0	0	0	0	0	0	0	0	0	0
7/4/01	@LA	5	1	2	0	0	0	0	0	0	2	0	0	0
7/5/01	@LA	3	0	1	1	0	0	0	1	0	1	0	0	0
7/6/01	Mil	5	0	3	0	1	0	1	0	0	0	0	0	0
7/7/01	Mil	4	1	2	0	1	0	1	0	0	1	0	0	0
7/8/01	Mil	6	0	1	1	0	0	1	1	0	0	0	0	0
7/12/01	@Sea	5	0	1	0	0	0	0	0	0	2	0	0	0
7/13/01	@Sea	4	0	1	0	0	0	0	0	0	0	0	0	0
7/14/01	@Sea	2	0	0	0	0	0	0	1	0	1	0	0	0
7/15/01	@Tex	4	1	3	1	0	0	2	0	0	0	0	0	0
7/16/01	@Tex	4	0	0	0	0	0	0	0	0	0	0	0	0
7/17/01	@Tex	4	2	2	1	0	0	0	1	0	0	0	0	0
7/18/01	Col	5	2	2	1	0	0	0	0	0	0	0	0	0
7/19/01	Col	4	0	1	0	0	0	1	1	0	1	0	0	0
7/20/01	Ari	3	0	0	0	0	0	0	0	0	1	0	0	0
7/22/01	Ari	4	1	1	0	0	1	1	0	0	2	0	0	0
7/23/01	@Col	4	0	0	0	0	0	0	0	0	0	0	0	1
7/24/01	@Col	4	0	0	0	0	0	0	0	0	0	0	0	0
7/25/01	@Col	4	1	2	0	0	0	2	0	0	0	1	0	1
7/26/01	@Ari	5	1	2	1	0	1	2	0	0	0	0	0	0
7/27/01	@Ari	5	1	1	1	0	0	2	0	0	0	0	0	0
7/28/01	@Ari	3	0	1	0	0	0	0	0	0	0	0	0	0
8/1/01	Pit	3	1	1	1	0	0	0	1	0	0	1	0	0
8/2/01	Pit	3	0	1	1	0	0	2	0	0	0	0	0	0
8/3/01	Phi	4	0	0	0	0	0	0	0	0	1	0	0	0
8/4/01	Phi	4	0	0	0	0	0	0	0	0	0	0	0	0
8/5/01	Phi	3	0	0	0	0	0	0	2	0	1	0	0	0
8/7/01	@Cin	5	1	1	0	1	0	0	0	0	0	0	0	0
8/8/01	@Cin	5	2	4	1	0	0	0	0	0	0	0	0	1
8/9/01	@Cin	5	2	2	1	0	1	1	0	0	0	0	0	0
8/10/01	@ChC	4	0	0	0	0	0	0	0	0	0	0	0	0
8/11/01	@ChC	4	0	3	0	0	0	1	0	0	0	0	0	0
8/12/01	@ChC	3	1	2	0	0	0	0	1	1	1	0	0	0
8/14/01	Fla	5	1	2	0	0	0	2	1	0	0	0	0	0
8/15/01	Fla	2	1	0	0	0	0	0	2	0	0	1	0	0
8/16/01	Fla	4	0	1	0	0	0	0	0	0	0	0	0	0
8/17/01	Atl	4	1	1	0	0	1	1	0	0	0	0	0	0
8/18/01	Atl	4	0	3	1	0	0	0	0	0	1	0	0	0
8/19/01	Atl	3	0	2	0	0	0	0	1	0	0	0	0	0
8/21/01	@Mon	5	2	1	0	0	1	1	0	0	1	0	0	0
8/22/01	@Mon	4	0	1	1	0	0	1	0	0	1	0	0	0
8/23/01	@Mon	5	1	1	0	0	1	1	0	0	0	0	0	0
8/24/01	@NYM	4	0	0	0	0	0	0	0	0	2	0	0	0
8/25/01	@NYM	5	0	3	0	0	0	0	0	0	2	0	0	0
8/26/01	@NYM	3	0	0	0	0	0	0	1	0	1	0	0	1
8/27/01	@NYM	5	0	0	0	0	0	0	0	0	1	0	0	0
8/28/01	@Ari	4	0	1	0	0	0	0	0	0	3	0	0	0
8/29/01	@Ari	3	0	0	0	0	0	0	1	0	0	0	0	0
8/30/01	@Ari	5	2	3	1	0	0	1	0	0	0	0	0	0
8/31/01	Col	4	0	2	0	0	0	0	0	0	0	0	0	0
9/1/01	Col	4	0	0	0	0	0	0	0	0	1	0	0	0
9/2/01	Col	3	1	1	1	0	0	1	1	0	1	0	1	0
9/3/01	Col	4	0	1	1	0	0	0	0	0	0	0	0	0
9/4/01	Ari	3	0	1	0	0	0	0	1	0	1	0	0	0
9/5/01	Ari	3	0	0	0	0	0	0	0	0	2	0	0	0
9/6/01	Ari	5	0	2	1	0	0	0	0	0	2	0	0	0
9/7/01	@Col	1	0	0	0	0	0	0	1	1	1	0	0	0
9/8/01	@Col	5	2	3	1	0	1	3	0	0	0	0	0	0
9/9/01	@Col	5	1	2	1	0	0	0	1	0	1	0	0	0
9/18/01	Hou	4	0	0	0	0	0	0	0	0	0	0	0	0
9/19/01	Hou	3	0	1	0	0	0	0	1	0	1	0	0	0
9/20/01	Hou	5	0	0	0	0	0	0	0	0	1	0	0	1
9/21/01	@SD	4	0	0	0	0	0	0	0	0	1	0	0	0
9/22/01	@SD	4	0	2	2	0	0	0	0	0	1	0	0	0
9/23/01	@SD	6	2	2	1	0	0	2	0	0	1	0	0	1
9/24/01	@LA	5	0	2	1	0	0	1	0	0	1	0	0	0
9/25/01	@LA	4	1	1	0	0	0	0	1	0	0	0	0	1
9/26/01	@LA	5	0	3	1	0	0	0	0	0	1	0	0	0
9/28/01	SD	2	1	1	0	0	1	1	2	0	0	0	0	0
9/29/01	SD	2	1	2	0	0	1	1	2	0	0	1	0	0
9/30/01	SD	3	0	1	0	0	0	2	0	0	0	0	0	0
10/2/01	@Hou	4	0	1	1	0	0	1	0	0	0	0	0	0
10/3/01	@Hou	5	2	3	1	0	0	3	0	0	1	0	0	0
10/4/01	@Hou	5	2	1	0	0	1	3	0	0	0	0	0	0
10/5/01	LA	4	0	1	1	0	0	3	1	0	0	0	0	0
10/6/01	LA	2	1	0	0	0	0	0	1	0	0	0	0	0
10/7/01	LA	4	0	1	0	0	0	0	0	0	0	0	0	1
