Date	Opp	AB	R	H	2B	3B	HR	RBI	TBB	IBB	SO	SB	CS	ERR
7/15/01	LA	3	0	1	0	0	0	0	1	0	0	0	0	1
7/16/01	LA	3	1	1	0	0	1	1	1	0	0	0	0	0
7/17/01	LA	4	0	1	0	0	0	1	0	0	0	0	0	0
7/18/01	ChC	4	0	0	0	0	0	0	0	0	2	0	0	0
7/19/01	ChC	2	0	1	0	0	0	2	0	0	0	0	0	0
7/20/01	@StL	4	1	1	0	0	1	2	0	0	0	0	0	0
7/21/01	@StL	4	1	2	0	0	0	0	0	0	1	0	0	0
7/22/01	@StL	4	0	1	0	0	0	0	0	0	0	0	0	0
7/24/01	@ChC	4	1	0	0	0	0	0	0	0	1	0	0	0
7/25/01	@ChC	4	0	1	0	0	0	0	0	0	1	0	0	0
7/26/01	Hou	4	1	1	1	0	0	0	0	0	1	0	0	0
7/27/01	Hou	4	1	2	0	0	1	1	0	0	0	0	0	0
7/28/01	Hou	4	1	1	0	0	0	0	0	0	1	0	0	0
7/31/01	@SF	5	2	4	1	0	1	3	0	0	0	0	0	0
8/1/01	@SF	3	0	1	0	0	0	0	0	0	0	0	0	0
8/2/01	@SF	3	0	0	0	0	0	0	0	0	0	0	0	0
8/3/01	@Col	3	2	2	1	0	1	3	0	0	0	0	0	0
8/4/01	@Col	5	2	4	1	0	2	3	0	0	1	0	0	0
8/5/01	@Col	2	1	0	0	0	0	0	1	1	1	0	0	1
8/7/01	LA	3	0	1	1	0	0	0	1	0	0	0	0	0
8/8/01	LA	3	1	2	0	0	0	1	1	0	0	1	0	0
8/9/01	LA	4	0	0	0	0	0	0	0	0	1	0	0	0
8/10/01	SD	3	0	0	0	0	0	0	1	0	0	0	0	0
8/11/01	SD	4	1	1	0	0	0	1	0	0	0	0	0	0
8/12/01	SD	5	1	1	0	0	1	1	0	0	2	0	0	0
8/13/01	@Ari	4	0	1	0	0	0	0	0	0	3	0	0	0
8/14/01	@Ari	4	0	2	0	0	0	0	0	0	0	0	1	0
8/15/01	@Ari	4	1	2	0	0	0	0	0	0	2	0	0	0
8/16/01	@Hou	4	0	1	0	0	0	0	0	0	0	0	0	1
8/17/01	@Hou	4	0	0	0	0	0	0	0	0	1	0	0	0
8/18/01	@Hou	4	0	0	0	0	0	0	0	0	3	0	0	0
8/19/01	@Hou	4	0	2	1	0	0	1	0	0	0	0	0	0
8/21/01	Ari	4	0	1	0	0	0	1	0	0	0	0	0	0
