Game	Date	Opp 	AB	H			
144	9/13/99	@Col	3	1	33	8	0.242
145	9/14/99	@Col	2	0	32	10	0.313
146	9/15/99	@Col	4	1	33	10	0.303
147	9/17/99	Phi	4	1	33	9	0.273
148	9/18/99	Phi	3	2	32	8	0.25
149	9/19/99	Phi	3	2	33	8	0.242
150	9/21/99	@Atl	4	0	35	11	0.314
151	9/22/99	@Atl	5	1	35	11	0.314
152	9/23/99	@Atl	4	0	35	11	0.314
153	9/24/99	@Phi	4	1	36	10	0.278
154	9/25/99	@Phi	4	3	38	8	0.211
155	9/26/99	@Phi	4	1	40	9	0.225
156	9/28/99	Atl	4	1	38	9	0.237
157	9/29/99	Atl	4	1	38	10	0.263
158	9/30/99	Atl	5	0	39	11	0.282
159	10/1/99	Pit	6	1			
160	10/2/99	Pit	3	1
161	10/3/99	Pit	4	1
162	10/4/99	@Cin	5	2
