Team	League	Avg	OBP	Slg	AB	R	H	2B	3B	HR	RBI	BB	SO	HBP
Anaheim	American	0.28	0.352	0.472	5628	864	1574	309	34	236	837	608	1024	47
Baltimore	American	0.272	0.341	0.435	5549	794	1508	310	22	184	750	558	900	49
Boston	American	0.267	0.341	0.423	5630	792	1503	316	32	167	755	611	1019	42
Chicago	American	0.286	0.356	0.47	5646	978	1615	325	33	216	926	591	960	53
Cleveland	American	0.288	0.367	0.47	5683	950	1639	310	30	221	889	685	1057	51
Detroit	American	0.275	0.343	0.438	5644	823	1553	307	41	177	785	562	982	43
Kansas City	American	0.288	0.348	0.425	5709	879	1644	281	27	150	831	511	840	48
Minnesota	American	0.27	0.337	0.407	5615	748	1516	325	49	116	711	556	1021	35
New York	American	0.277	0.354	0.45	5556	871	1541	294	25	205	833	631	1007	57
Oakland	American	0.27	0.36	0.458	5560	947	1501	281	23	239	908	750	1159	52
Seattle	American	0.269	0.361	0.442	5497	907	1481	300	26	198	869	775	1073	48
Tampa Bay	American	0.257	0.329	0.399	5505	733	1414	253	22	162	692	559	1022	50
Texas	American	0.283	0.352	0.446	5648	848	1601	330	35	173	806	580	922	39
Toronto	American	0.275	0.341	0.469	5677	861	1562	328	21	244	826	526	1026	60
Arizona	National	0.265	0.333	0.429	5527	792	1466	282	44	179	756	535	975	59
Atlanta	National	0.271	0.346	0.429	5489	810	1490	274	26	179	758	595	1010	59
Chicago	National	0.256	0.335	0.411	5577	764	1426	272	23	183	722	632	1120	54
Cincinnati	National	0.274	0.343	0.447	5635	825	1545	302	36	200	794	559	995	64
Colorado	National	0.294	0.362	0.455	5660	968	1664	320	53	161	905	601	907	42
Florida	National	0.262	0.331	0.409	5509	731	1441	274	29	160	691	540	1184	60
Houston	National	0.278	0.361	0.477	5570	938	1547	289	36	249	900	673	1129	83
Los Angeles	National	0.257	0.341	0.431	5481	798	1408	265	28	211	756	668	1083	51
Milwaukee	National	0.246	0.325	0.403	5563	740	1366	297	25	177	708	620	1245	61
Montreal	National	0.266	0.326	0.432	5535	738	1475	310	35	178	705	476	1048	29
New York	National	0.263	0.346	0.43	5486	807	1445	282	20	198	761	675	1037	45
Philadelphia	National	0.251	0.329	0.4	5511	708	1386	304	40	144	668	611	1117	44
Pittsburgh	National	0.267	0.339	0.424	5643	793	1506	320	31	168	749	564	1032	66
San Diego	National	0.254	0.33	0.402	5560	752	1413	279	37	157	714	602	1177	46
San Francisco	National	0.278	0.362	0.472	5519	925	1535	304	44	226	889	709	1032	51
St. Louis	National	0.27	0.356	0.455	5478	887	1481	259	25	235	841	675	1253	84
